RefSeq_accession_number,gene_symbol,gene_name,AO_A12D,C8_A131,BH_A18Q,C8_A130,C8_A138,E2_A154,C8_A12L,A2_A0EX,A7_A0CE,AN_A04A
NP_003875,KAT2B,histone acetyltransferase KAT2B,-3,-2,2,0,1,-0.71,-0.82,2.06,5.43,2.26
NP_110381,SAA2,serum amyloid A-2 protein isoform a precursor,5,3,2,0,-7,-3.71,-1.97,-7.72,5.41,-4.56
NP_001120852,SAA2,serum amyloid A-2 protein isoform b precursor,5,2,3,0,-13,-3.95,-1.97,-7.72,5.41,-4.56
NP_055281,TEKT2,tektin-2,7,2,-9,1,0,0,0,0,5.4,-1.74
NP_665698,TTC21A,tetratricopeptide repeat protein 21A isoform 2,3,0,-3,0,1,-0.76,-3.64,-2.81,5.39,0.83
NP_001162589,STIM2,stromal interaction molecule 2 isoform 1 precursor,2,0,2,-3,1,-2.14,-0.18,-0.95,5.37,0.65
NP_653190,COMTD1,catechol O-methyltransferase domain-containing protein 1,3,1,0,0,1,0.29,-0.65,-1.33,5.36,-0.13
NP_065869,KIAA1409,protein unc-79 homolog,0,0,-1,-2,2,-2.25,-1.57,-0.07,5.33,3.11
NP_689560,NA,EF-hand calcium-binding domain-containing protein 13 isoform A,0,0,-5,2,0,-2.84,-3.62,-3.49,5.32,-2.04
NP_110402,WNT5B,protein Wnt-5b precursor,0,0,-3,-1,3,1.01,1.02,6.62,5.31,1.81
NP_066307,NA,UDP-glucuronosyltransferase 1-9 precursor,3,1,0,-1,0,0,0,0,5.28,-4
NP_077271,DERL1,derlin-1 isoform a,5,3,0,0,1,-3.45,-1.22,-0.71,5.27,-1.74
NP_919269,XIRP1,xin actin-binding repeat-containing protein 1 isoform 1,6,-1,0,-1,0,-1.86,2.94,-0.96,5.26,-0.23
NP_005651,SLC35A2,UDP-galactose translocator isoform a,5,-1,-4,-3,3,-2.03,0,0,5.23,2.81
NP_005642,TDO2,"tryptophan 2,3-dioxygenase",0,0,-5,2,7,-0.83,2.01,-0.45,5.22,0.29
NP_001025031,FBXO43,F-box only protein 43,3,3,-8,1,4,-8.51,-0.8,1.92,5.17,0.38
NP_073623,ARV1,protein ARV1,4,1,-2,-2,6,-5.55,0,0,5.17,2.33
NP_689597,BBS5,Bardet-Biedl syndrome 5 protein,0,0,-5,0,1,-0.93,-3.17,1.62,5.17,-3.13
NP_006795,STARD3,stAR-related lipid transfer protein 3 isoform 1,6,0,-3,0,2,-0.95,0.06,-1.05,5.16,0.26
NP_003706,USO1,general vesicular transport factor p115,5,0,-2,-1,-1,-1.09,1.65,-0.37,5.16,-0.09
NP_116078,NA,zinc finger protein 607 isoform 1,1,0,-3,1,0,-3.31,-2.01,1.75,5.14,3.04
NP_056382,SLITRK5,SLIT and NTRK-like protein 5 precursor,5,-1,-7,3,4,-8.41,-7.56,-1.23,5.13,1.64
NP_115928,SLITRK2,SLIT and NTRK-like protein 2 precursor,6,-1,-7,3,4,-8.41,-7.56,-1.23,5.13,1.64
NP_006658,PGRMC1,membrane-associated progesterone receptor component 1,4,1,-1,1,2,-3.61,-0.34,-0.47,5.12,0.98
NP_000535,TAP2,antigen peptide transporter 2 isoform 1,5,0,3,-2,-1,-5,-0.72,-2.85,5.11,-0.47
NP_079195,FRMD1,FERM domain-containing protein 1 isoform 1,5,-2,-10,1,1,-8.88,0,0,5.11,-0.9
NP_036585,TBL2,transducin beta-like protein 2 precursor,5,1,-2,-1,0,-1.74,-0.03,-1.27,5.1,-0.08
NP_059129,MYO3A,myosin-IIIa,1,0,0,0,-1,-10.86,0,0,5.08,1.22
NP_003024,ST3GAL1,"CMP-N-acetylneuraminate-beta-galactosamide-alpha-2, 3-sialyltransferase 1",3,1,-4,-1,1,0.01,0.2,2.13,5.07,-1.68
NP_620419,SDR16C5,epidermal retinol dehydrogenase 2,5,-1,-5,-5,-3,-1.96,2.78,-1.68,5.06,-2
NP_003977,BBOX1,gamma-butyrobetaine dioxygenase,5,1,8,-1,-4,-4.27,3.1,-0.38,5.06,-0.05
NP_001092878,EIF4E1B,eukaryotic translation initiation factor 4E type 1B,-7,2,4,3,-3,0.63,2.32,1.93,5.05,0.25
NP_849193,STT3B,dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B,5,1,0,-2,1,-3.57,-0.95,-1.84,5,1.42
NP_954630,SAA1,serum amyloid A-1 protein preproprotein,5,2,2,0,-3,-2.37,-1.64,-6.68,5,-3.16
NP_003250,ICAM5,intercellular adhesion molecule 5 precursor,0,0,-2,1,-1,-10.78,2.14,2.59,5,-5.38
NP_004250,RECQL5,ATP-dependent DNA helicase Q5 isoform 1,1,0,-1,1,0,-1.34,0.02,-0.32,5,0.07
NP_036221,ABCB10,"ATP-binding cassette sub-family B member 10, mitochondrial",4,2,1,-1,0,-0.03,0.65,-1.32,4.99,-0.91
NP_001098719,TMC5,transmembrane channel-like protein 5 isoform b,0,0,0,0,-1,0.91,2.49,-0.58,4.99,2.91
NP_060283,IMPAD1,inositol monophosphatase 3,5,-1,0,1,-2,-2.25,2,-1.3,4.96,-0.14
NP_003261,TSPAN6,tetraspanin-6 isoform a,5,3,-4,-1,2,-0.02,-0.98,1.91,4.95,-1.09
NP_005660,REEP5,receptor expression-enhancing protein 5,5,-1,-1,-2,3,-2.02,-0.69,-1.39,4.94,1.11
NP_005610,RTN2,reticulon-2 isoform A,5,0,1,-2,3,-3.15,0,0,4.94,0.63
NP_065143,ATP13A1,probable cation-transporting ATPase 13A1,4,2,0,0,1,-1.93,1.57,-0.95,4.94,-0.05
NP_758454,MMAA,"methylmalonic aciduria type A protein, mitochondrial precursor",5,0,0,-1,-1,0.32,-2.38,-0.65,4.93,-0.48
NP_078853,SH3TC2,SH3 domain and tetratricopeptide repeat-containing protein 2,4,1,-5,-1,1,-4.02,-0.44,1.84,4.93,-1.27
NP_004791,TM9SF2,transmembrane 9 superfamily member 2 precursor,5,1,-2,-2,3,-1.39,0.49,-1.52,4.9,1.18
NP_002353,MAGEA4,melanoma-associated antigen 4,5,-6,8,0,-8,-10.71,-6.22,-6.74,4.88,-4.59
NP_002537,TNFRSF11B,tumor necrosis factor receptor superfamily member 11B precursor,0,0,-7,-2,2,-8.66,-5.39,-4.96,4.87,-0.17
XP_003403796,NA,PREDICTED: doublecortin domain-containing protein 2C,0,0,-11,0,2,-9.07,-2.49,-4.38,4.86,1.29
NP_002820,PTPN3,tyrosine-protein phosphatase non-receptor type 3 isoform 1,3,0,-4,-3,3,-0.07,-1.23,-1.78,4.86,0.22
NP_000423,MYL2,"myosin regulatory light chain 2, ventricular/cardiac muscle isoform",5,1,-8,-1,0,-4.73,-3.04,3.29,4.85,3.23
NP_002468,MYL5,myosin light chain 5,4,1,-8,-1,0,-4.53,-3.04,3.29,4.85,3.23
NP_612412,MYL10,myosin regulatory light chain 10,5,0,-5,-4,-1,-6.82,-3.94,2.9,4.85,3.23
NP_008910,SLC39A7,zinc transporter SLC39A7 precursor,0,0,-3,-2,5,-5.7,-2.03,-0.47,4.85,2.12
NP_055827,TMEM41B,transmembrane protein 41B isoform 1,5,-1,-5,-1,7,-5.66,-0.31,0.09,4.84,-0.62
NP_001158502,TMEM41B,transmembrane protein 41B isoform 2,5,-1,-5,-1,5,-5.14,-1.09,0.51,4.84,-0.62
NP_066925,SPINT2,kunitz-type protease inhibitor 2 isoform a precursor,5,3,-1,-1,2,-4.84,2.23,-1.78,4.82,-0.74
NP_056520,SGSM3,small G protein signaling modulator 3,4,0,-1,-1,1,-0.03,-0.75,-0.65,4.81,-0.78
NP_001010906,C8ORF80,nuclear GTPase SLIP-GC,3,-1,-2,2,-7,-5.9,0.84,0.28,4.81,-2.5
NP_001015001,NA,"creatine kinase U-type, mitochondrial precursor",5,-2,0,-4,4,-1.92,-4.86,-3.08,4.8,1.24
NP_066009,PPP4R4,serine/threonine-protein phosphatase 4 regulatory subunit 4 isoform 2,2,-1,-7,-3,2,-12.01,-6.97,-5.74,4.8,0.56
NP_055906,FAM179B,protein FAM179B,0,0,1,0,-1,2.41,0,0,4.8,0.69
NP_066921,CACNA1H,voltage-dependent T-type calcium channel subunit alpha-1H isoform a,0,0,-4,1,1,-1.05,0,0,4.78,0.82
NP_940892,NA,ras-related protein Rab-43 isoform a,5,1,0,-1,1,-1.69,0.61,-0.47,4.77,0.75
NP_004177,SEMA3F,semaphorin-3F precursor,4,0,-5,-1,-1,-1.43,-2.17,1.27,4.75,-0.01
NP_000438,PSEN2,presenilin-2 isoform 1,5,3,0,0,0,0,2.3,-0.96,4.7,1.3
NP_055513,TMEM63A,transmembrane protein 63A,4,1,-1,-4,2,-4.78,1.33,-1.14,4.69,-0.33
NP_878919,STEAP3,metalloreductase STEAP3 isoform a,5,2,0,-2,3,-0.88,2.47,-0.27,4.69,-0.07
NP_001032209,NRCAM,neuronal cell adhesion molecule isoform A precursor,-1,-1,-2,-1,1,-3.25,-1.87,-0.67,4.69,-1.08
NP_001138450,MTHFD2L,probable bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase 2,1,0,-6,1,-1,-8.79,0.34,-2.72,4.67,1.52
NP_005909,MDH2,"malate dehydrogenase, mitochondrial precursor",4,-1,0,1,-1,1.6,-0.19,-2.11,4.65,-0.82
NP_446464,ASS1,argininosuccinate synthase,5,-1,0,-3,2,-0.09,2.72,0.12,4.64,-1.07
NP_001193992,NA,coxsackievirus and adenovirus receptor isoform 2 precursor,3,3,2,-4,0,0,0.32,-0.9,4.64,-0.85
NP_001182412,NA,solute carrier family 12 member 8,5,0,-3,-4,0,0,0.51,-0.68,4.63,0.01
NP_001351,DHCR7,7-dehydrocholesterol reductase,6,1,1,1,3,-3.29,0.77,-2.45,4.62,-0.21
NP_003383,WNT5A,protein Wnt-5a isoform 1,0,0,-4,0,1,-0.15,0.62,6.9,4.61,1.69
NP_998821,KRT39,"keratin, type I cytoskeletal 39",-3,1,0,0,0,0,2.58,1.73,4.56,0.53
XP_003960233,NA,PREDICTED: myomegalin-like isoform 1,-3,1,0,0,-2,-13.77,2.58,1.73,4.56,0.53
XP_003960234,NA,PREDICTED: myomegalin-like isoform 2,-3,1,0,0,0,0,2.58,1.73,4.56,0.53
NP_733765,ATP2A2,sarcoplasmic/endoplasmic reticulum calcium ATPase 2 isoform b,5,1,0,-1,3,-2.46,1.02,-1.37,4.56,1.08
NP_542383,TMEM41A,transmembrane protein 41A precursor,4,0,0,0,0,0,0,0,4.52,2.24
NP_006732,PPP1R1A,protein phosphatase 1 regulatory subunit 1A,5,0,5,0,-5,2.07,0.71,-2.86,4.52,-1.01
NP_003449,BSN,protein bassoon,1,0,-5,0,1,-4.89,-4.28,0.41,4.5,-2.09
NP_078902,VTCN1,V-set domain-containing T-cell activation inhibitor 1 isoform 1 precursor,6,-1,1,-8,-6,-4.58,-2.08,7.78,4.48,-4.35
NP_000812,GGCX,vitamin K-dependent gamma-carboxylase isoform 1,4,1,0,0,0,0,0.97,-0.4,4.48,-0.56
NP_757385,SYVN1,E3 ubiquitin-protein ligase synoviolin isoform b precursor,3,-1,-3,-1,3,-5.17,-2.62,-1.49,4.47,0.36
NP_004473,GALNT3,polypeptide N-acetylgalactosaminyltransferase 3,4,0,0,-1,2,-2.93,3.9,-1.8,4.47,-0.51
NP_057731,C8ORF55,protein THEM6 precursor,5,3,-4,-3,5,-3.56,-0.43,-1.7,4.47,-1.44
NP_003857,INPP4B,"type II inositol 3,4-bisphosphate 4-phosphatase",4,0,-4,-1,-1,-1.27,-0.7,2.75,4.46,-0.65
NP_066979,TMX4,thioredoxin-related transmembrane protein 4 precursor,4,1,0,-2,1,-3.1,1.05,0.34,4.46,1.86
NP_004309,ASPH,aspartyl/asparaginyl beta-hydroxylase isoform a,5,3,-1,2,-2,0.33,1.07,1.14,4.44,-0.21
YP_003024028,COX1,cytochrome c oxidase subunit I,4,-1,2,-3,4,-2.46,-1.29,-3.08,4.44,-1.65
NP_612459,ARL11,ADP-ribosylation factor-like protein 11,4,1,-3,0,2,-3.7,-0.87,1.13,4.44,0.73
NP_003915,PHOX2B,paired mesoderm homeobox protein 2B,1,1,-1,1,1,3.66,0.36,4.34,4.43,-2.91
NP_919267,TMEM65,transmembrane protein 65,5,3,1,0,0,-1.22,3.07,-0.57,4.42,0.1
NP_003135,SSR1,translocon-associated protein subunit alpha precursor,3,2,1,-1,1,-2.25,0.63,-0.17,4.42,3.5
NP_076416,GRAMD3,GRAM domain-containing protein 3 isoform 2,4,-1,-3,-3,0,0,-6.43,-4.85,4.41,-0.83
NP_037460,PYCR2,pyrroline-5-carboxylate reductase 2 isoform 1,4,0,-2,0,-1,-0.89,0.88,-3.22,4.4,-0.03
NP_115646,LRRC8C,leucine-rich repeat-containing protein 8C,-1,0,3,-1,2,-1.56,0.11,-0.54,4.4,1.08
NP_775293,ATP2A1,sarcoplasmic/endoplasmic reticulum calcium ATPase 1 isoform b,5,1,-1,-1,4,-2.17,1.05,-1.23,4.38,1.3
NP_001138836,ABHD11,alpha/beta hydrolase domain-containing protein 11 isoform 8,4,0,-2,0,1,0.81,-2.35,-2.69,4.37,-0.91
NP_001073954,NA,zinc finger protein 275,5,-1,-9,0,4,-8.24,-0.85,-0.66,4.35,1.85
NP_000178,HGD,"homogentisate 1,2-dioxygenase",5,-2,-4,2,-4,-5.13,-5.61,-5.58,4.33,-0.98
NP_055067,SLC25A15,mitochondrial ornithine transporter 1,4,0,-2,-2,1,-3.09,-0.2,-2.64,4.33,0.92
NP_001207423,NA,glycine N-acyltransferase-like protein 1 isoform 2,4,3,-3,-1,0,-3.16,4.19,-1.76,4.32,-0.95
NP_001002292,NA,protein wntless homolog isoform 2,2,3,0,0,1,-6.36,2,3.9,4.31,1.71
NP_005793,TOPORS,E3 ubiquitin-protein ligase Topors isoform 1,1,0,0,0,-1,0.27,-3.02,-0.18,4.31,-1.55
NP_001227,CBR3,carbonyl reductase,4,-1,0,0,0,0.38,-3.8,-1.53,4.3,-2.2
NP_443142,SLITRK1,SLIT and NTRK-like protein 1 precursor,5,-1,-7,3,2,-3.78,-5.54,-1.22,4.29,1.26
NP_078848,GALNT14,polypeptide N-acetylgalactosaminyltransferase 14 isoform 1,4,0,-9,1,1,-10.21,0.48,0.06,4.27,-0.6
NP_478144,PPP4R4,serine/threonine-protein phosphatase 4 regulatory subunit 4 isoform 1,-1,0,0,-1,1,-10.62,-0.53,-1.79,4.26,0.22
NP_004346,CD74,HLA class II histocompatibility antigen gamma chain isoform b,5,0,3,-1,1,-2.65,-0.59,0.12,4.25,-1.45
NP_110410,PTDSS2,phosphatidylserine synthase 2,0,0,0,0,0,0,0,0,4.25,-3.13
NP_065385,PBXIP1,pre-B-cell leukemia transcription factor-interacting protein 1,4,2,0,-1,1,-2.24,0.19,-1.29,4.24,0.32
NP_002566,SERPINB2,plasminogen activator inhibitor 2,5,1,6,-1,0,4.07,-3.15,-0.17,4.23,-0.57
NP_848561,C20ORF71,BPI fold-containing family A member 3 isoform 1 precursor,0,0,-3,1,0,2.58,0,0,4.21,-3.12
NP_208325,LRRCC1,leucine-rich repeat and coiled-coil domain-containing protein 1,3,0,-2,-2,2,-0.73,-0.22,-0.29,4.17,-2.38
